Timestamp,Should /r/unixporn join the protest and go temporarily private?
03/07/2015 16:39:23,Yes (go private)
03/07/2015 16:39:41,Yes (go private)
03/07/2015 16:41:08,Yes (restrict submissions)
03/07/2015 16:41:24,Yes (go private)
03/07/2015 16:42:30,No
03/07/2015 16:42:41,No
03/07/2015 16:43:48,No
03/07/2015 16:44:21,Yes (go private)
03/07/2015 16:45:02,No
03/07/2015 16:45:11,Yes (go private)
03/07/2015 16:45:33,Yes (restrict submissions)
03/07/2015 16:46:23,Yes (go private)
03/07/2015 16:46:29,No
03/07/2015 16:49:36,Yes (go private)
03/07/2015 16:49:38,No
03/07/2015 16:49:43,Yes (go private)
03/07/2015 16:49:55,Yes (go private)
03/07/2015 16:50:07,Yes (go private)
03/07/2015 16:51:12,Yes (restrict submissions)
03/07/2015 16:52:20,Yes (go private)
03/07/2015 16:55:23,No
03/07/2015 16:55:43,No
03/07/2015 16:55:46,Yes (restrict submissions)
03/07/2015 16:56:13,Yes (go private)
03/07/2015 16:56:50,No
03/07/2015 17:00:39,Yes (go private)
03/07/2015 17:01:43,Yes (restrict submissions)
03/07/2015 17:02:48,Yes (go private)
03/07/2015 17:03:27,Yes (go private)
03/07/2015 17:04:38,Yes (restrict submissions)
03/07/2015 17:06:00,No
03/07/2015 17:09:30,Yes (go private)
03/07/2015 17:11:13,Yes (go private)
03/07/2015 17:11:30,Yes (go private)
03/07/2015 17:11:35,Yes (go private)
03/07/2015 17:11:45,Yes (restrict submissions)
03/07/2015 17:12:00,No
03/07/2015 17:13:12,Yes (go private)
03/07/2015 17:16:33,Yes (go private)
03/07/2015 17:17:37,Yes (go private)
03/07/2015 17:18:53,Yes (go private)
03/07/2015 17:22:13,No
03/07/2015 17:22:56,Yes (restrict submissions)
03/07/2015 17:23:46,Yes (go private)
03/07/2015 17:24:45,No
03/07/2015 17:24:47,Yes (go private)
03/07/2015 17:26:21,No
03/07/2015 17:27:34,No
03/07/2015 17:28:22,No
03/07/2015 17:29:53,Yes (restrict submissions)
03/07/2015 17:30:57,Yes (go private)
03/07/2015 17:34:57,Yes (go private)
03/07/2015 17:35:01,No
03/07/2015 17:35:10,No
03/07/2015 17:35:19,No
03/07/2015 17:36:08,Yes (go private)
03/07/2015 17:36:30,Yes (go private)
03/07/2015 17:37:02,No
03/07/2015 17:37:38,Yes (go private)
03/07/2015 17:37:39,No
03/07/2015 17:37:40,No
03/07/2015 17:37:44,Yes (restrict submissions)
03/07/2015 17:38:37,Yes (go private)
03/07/2015 17:39:30,Yes (go private)
03/07/2015 17:39:45,Yes (go private)
03/07/2015 17:40:35,Yes (restrict submissions)
03/07/2015 17:41:11,Yes (restrict submissions)
03/07/2015 17:41:39,No
03/07/2015 17:42:03,No
03/07/2015 17:42:27,No
03/07/2015 17:42:52,Yes (go private)
03/07/2015 17:44:04,Yes (go private)
03/07/2015 17:44:17,No
03/07/2015 17:44:28,Yes (go private)
03/07/2015 17:45:02,Yes (go private)
03/07/2015 17:45:16,Yes (go private)
03/07/2015 17:46:17,Yes (go private)
03/07/2015 17:47:58,Yes (go private)
03/07/2015 17:48:03,No
03/07/2015 17:50:17,No
03/07/2015 17:50:34,Yes (go private)
03/07/2015 17:52:10,Yes (go private)
03/07/2015 17:52:55,No
03/07/2015 17:54:07,Yes (go private)
03/07/2015 17:54:29,No
03/07/2015 17:55:00,Yes (go private)
03/07/2015 17:55:54,Yes (go private)
03/07/2015 17:57:25,Yes (restrict submissions)
03/07/2015 17:58:02,Yes (go private)
03/07/2015 17:58:08,Yes (go private)
03/07/2015 17:58:08,Yes (go private)
03/07/2015 17:58:14,Yes (go private)
03/07/2015 17:58:41,No
03/07/2015 17:58:47,No
03/07/2015 17:59:15,Yes (go private)
03/07/2015 17:59:20,Yes (go private)
03/07/2015 18:01:05,No
03/07/2015 18:02:10,Yes (go private)
03/07/2015 18:03:53,Yes (go private)
03/07/2015 18:04:35,Yes (restrict submissions)
03/07/2015 18:04:36,No
03/07/2015 18:04:55,Yes (go private)
03/07/2015 18:05:23,No
03/07/2015 18:07:08,Yes (go private)
03/07/2015 18:07:14,Yes (go private)
03/07/2015 18:07:25,Yes (go private)
03/07/2015 18:09:18,Yes (go private)
03/07/2015 18:13:12,Yes (go private)
03/07/2015 18:15:54,Yes (restrict submissions)
03/07/2015 18:16:54,Yes (go private)
03/07/2015 18:17:31,Yes (go private)
03/07/2015 18:18:04,Yes (go private)
03/07/2015 18:18:08,Yes (go private)
03/07/2015 18:19:34,Yes (go private)
03/07/2015 18:20:44,Yes (go private)
03/07/2015 18:20:57,No
03/07/2015 18:21:56,Yes (go private)
03/07/2015 18:22:58,Yes (go private)
03/07/2015 18:23:50,No
03/07/2015 18:24:16,Yes (go private)
03/07/2015 18:24:50,Yes (go private)
03/07/2015 18:27:00,Yes (go private)
03/07/2015 18:31:00,Yes (go private)
03/07/2015 18:31:16,Yes (go private)
03/07/2015 18:34:22,Yes (go private)
03/07/2015 18:34:33,Yes (go private)
03/07/2015 18:35:27,Yes (go private)
03/07/2015 18:35:39,Yes (go private)
03/07/2015 18:37:00,No
03/07/2015 18:38:07,Yes (go private)
03/07/2015 18:38:21,Yes (go private)
03/07/2015 18:38:59,Yes (go private)
03/07/2015 18:39:14,Yes (go private)
03/07/2015 18:41:37,Yes (go private)
03/07/2015 18:43:26,Yes (go private)
03/07/2015 18:44:20,Yes (go private)
03/07/2015 18:44:23,Yes (go private)
03/07/2015 18:46:25,Yes (go private)
03/07/2015 18:46:38,Yes (go private)
03/07/2015 18:47:02,Yes (go private)
03/07/2015 18:47:11,Yes (go private)
03/07/2015 18:47:38,Yes (go private)
03/07/2015 18:49:03,Yes (go private)
03/07/2015 18:50:38,No
03/07/2015 18:53:37,No
03/07/2015 18:54:24,Yes (go private)
03/07/2015 18:55:05,No
03/07/2015 18:56:10,Yes (go private)
03/07/2015 18:58:41,Yes (restrict submissions)
03/07/2015 19:00:13,No
03/07/2015 19:00:22,No
03/07/2015 19:03:54,Yes (go private)
03/07/2015 19:04:25,No
03/07/2015 19:05:48,No
03/07/2015 19:07:54,No
03/07/2015 19:09:23,Yes (go private)
03/07/2015 19:09:44,Yes (go private)
03/07/2015 19:09:49,Yes (go private)
03/07/2015 19:10:38,No
03/07/2015 19:13:29,No
03/07/2015 19:13:37,No
03/07/2015 19:13:42,No
03/07/2015 19:13:46,No
03/07/2015 19:13:49,No
03/07/2015 19:13:53,No
03/07/2015 19:13:57,No
03/07/2015 19:13:59,No
03/07/2015 19:14:03,No
03/07/2015 19:14:08,No
03/07/2015 19:14:17,No
03/07/2015 19:16:22,No
03/07/2015 19:18:17,Yes (go private)
03/07/2015 19:19:14,Yes (go private)
03/07/2015 19:19:47,No
03/07/2015 19:20:01,Yes (go private)
03/07/2015 19:20:27,No
03/07/2015 19:24:20,No
03/07/2015 19:25:09,No
03/07/2015 19:26:06,No
03/07/2015 19:26:50,No
03/07/2015 19:26:57,No
03/07/2015 19:27:10,Yes (go private)
03/07/2015 19:28:51,Yes (restrict submissions)
03/07/2015 19:29:53,No
03/07/2015 19:31:06,Yes (restrict submissions)
03/07/2015 19:31:42,No
03/07/2015 19:31:45,Yes (go private)
03/07/2015 19:32:37,Yes (restrict submissions)
03/07/2015 19:33:53,Yes (go private)
03/07/2015 19:34:22,No
03/07/2015 19:34:35,Yes (go private)
03/07/2015 19:35:36,No
03/07/2015 19:36:19,Yes (go private)
03/07/2015 19:37:42,Yes (restrict submissions)
03/07/2015 19:39:53,Yes (go private)
03/07/2015 19:44:01,No
03/07/2015 19:44:06,Yes (go private)
03/07/2015 19:45:20,Yes (go private)
03/07/2015 19:48:54,No
03/07/2015 19:49:17,No
03/07/2015 19:50:06,No
03/07/2015 19:50:40,Yes (go private)
03/07/2015 19:51:56,Yes (go private)
03/07/2015 19:56:18,No
03/07/2015 19:58:59,Yes (go private)
03/07/2015 20:01:41,Yes (go private)
03/07/2015 20:02:26,No
03/07/2015 20:03:50,Yes (go private)
03/07/2015 20:05:22,Yes (go private)
03/07/2015 20:07:15,Yes (restrict submissions)
03/07/2015 20:09:08,Yes (go private)
03/07/2015 20:11:39,No
03/07/2015 20:12:29,No
03/07/2015 20:13:25,Yes (go private)
03/07/2015 20:17:12,Yes (go private)
03/07/2015 20:17:32,Yes (go private)
03/07/2015 20:18:45,No
03/07/2015 20:18:50,No
03/07/2015 20:19:09,Yes (go private)
03/07/2015 20:20:01,No
03/07/2015 20:20:21,No
